Kode Kemendagri,Kabupaten,Provinsi,Ibu Kota,Kecamatan,Kelurahan/Desa
35.12,Kabupaten Situbondo,Jawa Timur,Situbondo,17,136
34.04,Kabupaten Sleman,Yogyakarta,Kecamatan Sleman,17,86
13.11,Kabupaten Solok Selatan,Sumatra Barat,Padang Aro,7,39
13.02,Kabupaten Solok,Sumatra Barat,Arosuka,14,74
73.12,Kabupaten Soppeng,Sulawesi Selatan,Watan Soppeng,8,70
92.01,Kabupaten Sorong,Papua Barat Daya,Sorong,30,252
92.04,Kabupaten Sorong Selatan,Papua Barat Daya,Teminabuan,15,123
33.14,Kabupaten Sragen,Jawa Tengah,Sragen,20,208
32.13,Kabupaten Subang,Jawa Barat,Subang,30,253
32.02,Kabupaten Sukabumi,Jawa Barat,Pelabuanratu,47,386
62.08,Kabupaten Sukamara,Kalimantan Tengah,Sukamara,5,32
33.11,Kabupaten Sukoharjo,Jawa Tengah,Sukoharjo,12,167
53.18,Kabupaten Sumba Barat Daya,Nusa Tenggara Timur,Tambolaka,11,175
53.12,Kabupaten Sumba Barat,Nusa Tenggara Timur,Waikabubak,6,74
53.17,Kabupaten Sumba Tengah,Nusa Tenggara Timur,Waibakul,5,65
53.11,Kabupaten Sumba Timur,Nusa Tenggara Timur,Waingapu,22,156
52.07,Kabupaten Sumbawa Barat,Nusa Tenggara Barat,Taliwang,8,64
52.04,Kabupaten Sumbawa,Nusa Tenggara Barat,Sumbawa Besar,24,165
32.11,Kabupaten Sumedang,Jawa Barat,Sumedang,26,277
35.29,Kabupaten Sumenep,Jawa Timur,Sumenep,27,334
91.19,Kabupaten Supiori,Papua,Sorendiweri,5,38
63.09,Kabupaten Tabalong,Kalimantan Selatan,Tanjung,12,131
51.02,Kabupaten Tabanan,Bali,Tabanan,10,133
73.05,Kabupaten Takalar,Sulawesi Selatan,Pattalassang,9,100
92.09,Kabupaten Tambrauw,Papua Barat Daya,Fef,29,216
65.04,Kabupaten Tana Tidung,Kalimantan Utara,Tideng Pale,5,32
73.18,Kabupaten Tana Toraja,Sulawesi Selatan,Makale,19,159
63.10,Kabupaten Tanah Bumbu,Kalimantan Selatan,Batulicin,10,149
13.04,Kabupaten Tanah Datar,Sumatra Barat,Batusangkar,14,75
63.01,Kabupaten Tanah Laut,Kalimantan Selatan,Pelaihari,11,135
36.03,Kabupaten Tangerang,Banten,Tigaraksa,29,274
18.06,Kabupaten Tanggamus,Lampung,Kota Agung,20,302
15.06,Kabupaten Tanjung Jabung Barat,Jambi,Kuala Tungkal,13,134
15.07,Kabupaten Tanjung Jabung Timur,Jambi,Muara Sabak,11,93
12.03,Kabupaten Tapanuli Selatan,Sumatra Utara,"Sipirok, Tapanuli Selatan",14,248
12.01,Kabupaten Tapanuli Tengah,Sumatra Utara,"Pandan, Tapanuli Tengah",20,215
12.02,Kabupaten Tapanuli Utara,Sumatra Utara,Tarutung,15,252
63.05,Kabupaten Tapin,Kalimantan Selatan,Rantau,12,135
32.06,Kabupaten Tasikmalaya,Jawa Barat,Singaparna,39,351
15.09,Kabupaten Tebo,Jambi,Muara Tebo,12,112
33.28,Kabupaten Tegal,Jawa Tengah,Slawi,18,287
92.06,Kabupaten Teluk Bintuni,Papua Barat,Bintuni,24,117
92.07,Kabupaten Teluk Wondama,Papua Barat,Rasiei,13,76
33.23,Kabupaten Temanggung,Jawa Tengah,Temanggung,20,289
53.02,Kabupaten Timor Tengah Selatan,Nusa Tenggara Timur,Soe,32,278
